,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
2904,150.31240530184817,2.091221160376793,0.015472110870377954,0.002459459642141388,0.008423969012536569,0.002557772118929169,0.0013276549482639673,0.0024514207512584918,0.6788573396127703,0.9270534861509073,150.3118492396472,2.090110128806303,0.015756312112697256,0.002433086142543013,10476.0,b'COSMOSVLA3',b'J100114.95+020528.8',150.312331,0.11,2.091342,0.11,11.5,2.3,2.27,5.07,19.0,0.0,0.0,139,2,0.5105864593934359,0.00023537379433302696,0.0027870330477361626
2536,150.21509735793606,1.7517960808984927,0.02624906869756571,0.0025145207869728603,0.021813311550179123,0.0024610613859139376,0.014162912661596807,0.0025337104855113466,0.6869313164342247,0.9838778107764107,150.2167647443743,1.7517959956455844,0.02721742961169075,0.0024201927090715418,10382.0,b'COSMOSVLA3',b'J100051.66+014506.4',150.215288,0.11,1.751789,0.11,11.6,2.4,2.29,5.08,13.0,0.0,0.0,680,3,0.6864641325863925,0.0004226960823799919,0.005006687713425217
3033,150.34514519222222,1.7017890234969162,0.01110517431160515,0.0025414524344604347,0.011034533946062007,0.002464883543238055,0.006418967999298211,0.002530245069854682,0.5156811253358308,0.9128313186203837,150.34514493885945,1.7001225047358077,0.015126788150972287,0.002449381044718934,10490.0,b'COSMOSVLA3',b'J100122.84+014206.7',150.345182,0.11,1.701879,0.11,11.6,2.3,2.26,5.11,14.0,0.0,0.0,,,0.34994867821734926,0.0001098674846378156,0.001299859958015273
3443,150.44981808376377,2.550631219827105,0.020633615235487186,0.002494868739617382,0.019322280185450385,0.002500722393399379,0.004262625680008505,0.002500855766028117,0.576938632861575,0.9597337230069817,150.4503744104126,2.5517421322449794,0.018207412717295184,0.0024575681138142283,10763.0,b'COSMOSVLA3',b'J100147.98+023302.7',150.449919,0.1,2.550775,0.1,11.6,2.3,2.24,5.19,13.0,0.0,0.0,,,0.6321732709880271,0.0003584913879042251,0.004245901310813341
2890,150.31022109609972,2.3984411592248156,0.034933842053169316,0.0025301147459917323,0.039891161509152624,0.00245700210074699,0.03049983400985142,0.0025712837473980915,0.9221504012799738,0.9865244244806288,150.31022109609972,2.3984411592248165,0.030367829608772153,0.0024619916900730696,10377.0,b'COSMOSVLA3',b'J100114.38+022354.4',150.309916,0.1,2.398446,0.1,11.7,2.4,2.28,5.13,14.0,0.0,0.0,423,2,1.0975221346897461,0.0010801305453702614,0.012796884429340108
2394,150.16813188980416,1.7304104657864938,0.013633937878427906,0.00249018634299087,0.015059370697168027,0.0024993207524909387,0.007867966078709149,0.002512543632430245,0.7476326265344809,0.9128313186203837,150.16840977503927,1.730132701070612,0.015156434492229339,0.0024247618091137544,10500.0,b'COSMOSVLA3',b'J100040.38+014350.6',150.168272,0.1,1.730741,0.1,11.7,2.4,2.28,5.14,16.0,0.0,0.0,,,1.2923239342639898,0.0014972756723710123,0.017739799322545588
2094,150.08196284211186,2.5765052278413454,0.021021283789573526,0.0024681903095540017,0.016335154976182806,0.0025800531742411316,0.003324432375482413,0.0024596874420023877,0.6655814131854009,0.9788809654415798,150.08168478163498,2.5767829862740745,0.02296404983506415,0.002402927264429306,9992.0,b'COSMOSVLA3',b'J100019.60+023436.2',150.08167,0.1,2.576743,0.1,11.8,2.3,2.26,5.2,12.0,0.0,0.0,605,2,1.3571512458991277,0.0016288026296904512,0.01929831340819877
3390,150.4328563055714,2.5442468669787512,0.020108621121555356,0.0024917973319374454,0.01072856304103472,0.00245930906858778,0.0069270457447748604,0.002561735121428805,0.4991094408066709,0.9702417854928704,150.43369024605974,2.5434133710421696,0.020480865615548287,0.0024416571794949045,10413.0,b'COSMOSVLA3',b'J100143.87+023238.7',150.432813,0.1,2.544107,0.1,11.9,2.4,2.29,5.17,16.0,0.0,0.0,,,0.5270583063517442,0.00024582714126786254,0.002910898822267791
1974,150.0519633950105,1.9181785235977056,0.014596947565417273,0.002544691081441767,0.007862251210272394,0.002523032412279316,0.002983437088052523,0.0025985725124773496,0.8194642535914425,0.9469451107661916,150.05168545282496,1.9184562825741462,0.0170948426412976,0.0024757443368703873,10103.0,b'COSMOSVLA3',b'J100012.47+015504.2',150.051997,0.1,1.917854,0.1,12.0,2.3,2.23,5.35,13.0,0.0,0.0,,,1.1745250107534906,0.0012045050677216285,0.014270646530520743
3208,150.3917286048379,2.6653603277484623,0.030446100565323875,0.0025378587850650456,0.023553137774247453,0.0025320089709972514,0.017218433829522775,0.002533978086230889,0.8417168083729188,0.9849157054125999,150.39200661762953,2.6650825088307193,0.027718389327057176,0.0024697631292685267,9820.0,b'COSMOSVLA3',b'J100134.06+023955.4',150.391942,0.1,2.665403,0.1,12.0,2.4,2.27,5.26,17.0,0.0,0.0,,,0.7826166550109123,0.0005349679431637666,0.006337040669352263
