,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
1799,150.00278903735725,1.6773562618434708,0.01174086669383293,0.0024664179204081926,0.01382661201776671,0.0025560387004247807,0.00611427735196575,0.0024512277988536996,0.5935310965882867,0.8555263872544583,150.00334471655157,1.678467305596068,0.013600472668683783,0.0024286243329241534,10607.0,b'COSMOSVLA3',b'J100000.53+014039.9',150.002216,0.11,1.677761,0.11,11.1,2.3,2.2,5.02,14.0,0.0,0.0,,,2.5248896365436555,0.005823350862483756,0.06900114723779167
3657,150.50456430462918,2.4458987304570674,0.020486434538764933,0.0024992972363688517,0.02568223319766937,0.002546268571035275,0.02075080127885699,0.002511360147061002,0.8983075392768364,0.9663881151346332,150.503730471545,2.446732270149057,0.019463453307886118,0.00243331738211464,10699.0,b'COSMOSVLA3',b'J100201.11+022642.5',150.504639,0.11,2.445152,0.11,11.3,2.3,2.22,5.1,13.0,0.0,0.0,,,2.7016209908309157,0.0066193370003236884,0.0784330966502249
2904,150.31240530184817,2.091221160376793,0.015472110870377954,0.002459459642141388,0.008423969012536569,0.002557772118929169,0.0013276549482639673,0.0024514207512584918,0.6788573396127703,0.9270534861509073,150.3118492396472,2.090110128806303,0.015756312112697256,0.002433086142543013,10476.0,b'COSMOSVLA3',b'J100114.95+020528.8',150.312331,0.11,2.091342,0.11,11.5,2.3,2.27,5.07,19.0,0.0,0.0,139,2,0.5105864593934359,0.00023537379433302696,0.0027870330477361626
1158,149.81980074137218,2.381755172889547,0.017308910599781912,0.0025167311185010956,0.009908111203601452,0.0024943891988077056,0.004837708086891863,0.0025704335117107307,0.7152580265002193,0.9495591848533025,149.81980074137218,2.381755172889548,0.017287004276655634,0.0024499847281937593,10470.0,b'COSMOSVLA3',b'J095916.63+022253.1',149.819294,0.11,2.381422,0.11,11.5,2.4,2.27,5.06,13.0,0.0,0.0,,,2.1819313920774954,0.004289628369561371,0.050827472749927785
3016,150.34134580296643,2.3106598837511134,0.012662164270352202,0.002517886752396483,0.007832906454998099,0.0025131110389929987,-0.0022598524423540355,0.002469844888085079,0.345714246110311,0.9106908613904678,150.34023372299973,2.310104506348058,0.015084945527916888,0.0024369996618317266,10509.0,b'COSMOSVLA3',b'J100121.86+021836.3',150.34112,0.11,2.310092,0.11,11.5,2.4,2.29,5.04,13.0,0.0,0.0,,,2.1998211579905362,0.0043601042977740034,0.05166256944080695
3033,150.34514519222222,1.7017890234969162,0.01110517431160515,0.0025414524344604347,0.011034533946062007,0.002464883543238055,0.006418967999298211,0.002530245069854682,0.5156811253358308,0.9128313186203837,150.34514493885945,1.7001225047358077,0.015126788150972287,0.002449381044718934,10490.0,b'COSMOSVLA3',b'J100122.84+014206.7',150.345182,0.11,1.701879,0.11,11.6,2.3,2.26,5.11,14.0,0.0,0.0,,,0.34994867821734926,0.0001098674846378156,0.001299859958015273
3443,150.44981808376377,2.550631219827105,0.020633615235487186,0.002494868739617382,0.019322280185450385,0.002500722393399379,0.004262625680008505,0.002500855766028117,0.576938632861575,0.9597337230069817,150.4503744104126,2.5517421322449794,0.018207412717295184,0.0024575681138142283,10763.0,b'COSMOSVLA3',b'J100147.98+023302.7',150.449919,0.1,2.550775,0.1,11.6,2.3,2.24,5.19,13.0,0.0,0.0,,,0.6321732709880271,0.0003584913879042251,0.004245901310813341
3320,150.41866805523685,2.503418616929831,0.018070442769701375,0.002518261168880917,0.02414954958066657,0.0025120331866123427,0.0311631412023947,0.002479198371160779,0.7046698524488003,0.9528843249773482,150.42033624769786,2.503418236474284,0.017663413048654205,0.002434783496820513,10289.0,b'COSMOSVLA3',b'J100140.43+023010.4',150.418497,0.11,2.502899,0.11,11.6,2.3,2.26,5.12,11.0,0.0,0.0,70,2,1.9691895875333267,0.003472994869416768,0.041150864709033626
2536,150.21509735793606,1.7517960808984927,0.02624906869756571,0.0025145207869728603,0.021813311550179123,0.0024610613859139376,0.014162912661596807,0.0025337104855113466,0.6869313164342247,0.9838778107764107,150.2167647443743,1.7517959956455844,0.02721742961169075,0.0024201927090715418,10382.0,b'COSMOSVLA3',b'J100051.66+014506.4',150.215288,0.11,1.751789,0.11,11.6,2.4,2.29,5.08,13.0,0.0,0.0,680,3,0.6864641325863925,0.0004226960823799919,0.005006687713425217
2384,150.16481892514173,2.4503973672691632,0.014909472049527136,0.0024875092371107045,0.01530771502129854,0.0025436710107643746,0.009954648559716039,0.0024407039136225494,0.8135588199967185,0.9379345866597991,150.16509694622027,2.4501195848756003,0.016396550660445097,0.002421351122449299,10315.0,b'COSMOSVLA3',b'J100039.61+022703.0',150.165067,0.11,2.450855,0.11,11.6,2.4,2.28,5.1,13.0,0.0,0.0,,,1.8735789617598635,0.0031444494873494877,0.037257802661801995
